"sus_cat_id","sus_cat_source"
"1","S11"
"1","S59"
"1","S60"
"1","S69"
"1","S78"
"1","X3"
"2","S10"
"2","S55"
"2","S56"
"2","S57"
"2","S6"
"2","S72"
"2","S76"
"2","X1"
"2","X3"
"2","X5"
"3","X1"
"4","S30"
"4","S67"
"4","X3"
"5","S28"
"5","X1"
"5","X8"
"6","S13"
"6","X3"
"7","S14"
"7","S25"
"7","S46"
"7","S9"
"7","X2"
"7","X3"
"8","X3"
"9","S20"
"9","S47"
"9","S48"
"9","S49"
"9","X3"
"10","S18"
"10","S23"
"10","S7"
"10","S8"
"10","X3"
"11","S26"
"11","S29"
"11","S40"
"11","S64"
"11","S75"
"11","X3"
"12","S24"
"12","S37"
"12","S43"
"13","S45"
"13","S58"
"13","X7"
"14","S27"
"14","S5"
"14","S63"
"14","S64"
"15","S48"
"15","S49"
"15","S54"
"15","S77"
"16","X3"
"17","S71"
"17","S73"
"18","X3"
"19","S35"
"20","S52"
"21","S36"
"148","S59"
